Succession_Rank,Player,Replacement_For,Age,Decision_Tier,Risk_Adjusted_Score,Succession_Score,Evidence_Band,Recruitment_Risk,Development_Profile,Validation_Flag_Count,Validation_Flags,Suggested_Action,Final_Decision_State,Executive_Status,Executive_Rationale
1,Victor Froholdt,Sandro Tonali,19.0,PRIORITY TARGET,76.0,61.4,HIGH,LOW,HIGH UPSIDE,3,DEVELOPMENT_PROJECTION | YOUNG_PROJECTION | DECISION_UPLIFT,LIVE / VIDEO SCOUTING,SCOUTING REQUIRED,AWAITING SCOUTING VALIDATION,high evidence; low recruitment risk; high upside; next step: live / video scouting
2,Kodai Sano,Sandro Tonali,21.0,PRIORITY TARGET,74.5,60.9,HIGH,LOW,DEVELOPMENT,1,DECISION_UPLIFT,TACTICAL VALIDATION,SCOUTING REQUIRED,AWAITING SCOUTING VALIDATION,high evidence; low recruitment risk; development; next step: tactical validation
3,Irakli Yegoian,Sandro Tonali,21.0,PRIORITY TARGET,72.6,61.3,HIGH,LOW,DEVELOPMENT,1,DECISION_UPLIFT,TACTICAL VALIDATION,SCOUTING REQUIRED,AWAITING SCOUTING VALIDATION,high evidence; low recruitment risk; development; next step: tactical validation
4,Max Ejdum,Sandro Tonali,20.0,STRONG SHORTLIST,67.2,61.0,GOOD,MEDIUM,HIGH UPSIDE,4,EVIDENCE_REVIEW | DEVELOPMENT_PROJECTION | RECRUITMENT_RISK | YOUNG_PROJECTION,LIVE / VIDEO SCOUTING,SCOUTING REQUIRED,AWAITING SCOUTING VALIDATION,good evidence; medium recruitment risk; high upside; next step: live / video scouting
