Player,Squad,League,Age,Min,Similarity,Quality,Succession_Score,Replacement_For,Recruitment_Verdict,Evidence_Confidence,Evidence_Band,Development_Profile,Development_Score,Evidence_Risk,Recruitment_Risk,Decision_Score,Risk_Penalty,Risk_Adjusted_Score,Decision_Tier,Succession_Coverage,Can_Replace,Strategic_Value,Recommendation_Rationale
Kristian Arnstad,AGF,Danish Superliga,21.0,2611,68.3,58.8,64.5,Anthony Gordon,SCOUT FURTHER,87.03333333333333,HIGH,DEVELOPMENT,90,0,LOW,74.1,0,74.1,PRIORITY TARGET,1,Anthony Gordon,SINGLE ROLE,credible succession fit; high evidence confidence; development runway; low decision uncertainty
Tobias Bech,AGF,Danish Superliga,23.0,2668,59.7,66.5,62.4,Anthony Gordon,SCOUT FURTHER,88.93333333333334,HIGH,PRIME ENTRY,70,0,LOW,69.2,0,69.2,STRONG SHORTLIST,1,Anthony Gordon,SINGLE ROLE,credible succession fit; high evidence confidence; entering prime years; low decision uncertainty
Thomas Jørgensen,Viborg,Danish Superliga,19.0,2579,49.1,83.1,62.7,Bruno Guimaraes,SCOUT FURTHER,85.96666666666667,HIGH,HIGH UPSIDE,100,0,LOW,74.8,0,74.8,PRIORITY TARGET,1,Bruno Guimaraes,SINGLE ROLE,credible succession fit; high evidence confidence; high development upside; low decision uncertainty
Rihito Yamamoto,Sint-Truiden,Belgian Pro League,23.0,3281,59.0,71.3,63.9,Bruno Guimaraes,SCOUT FURTHER,100.0,HIGH,PRIME ENTRY,70,0,LOW,72.3,0,72.3,PRIORITY TARGET,1,Bruno Guimaraes,SINGLE ROLE,credible succession fit; high evidence confidence; entering prime years; low decision uncertainty
Darío Osorio,Midtjylland,Danish Superliga,21.0,1922,58.6,80.1,67.2,Bruno Guimaraes,STRONG OPTION,64.06666666666668,GOOD,DEVELOPMENT,90,10,MEDIUM,71.1,3,68.1,STRONG SHORTLIST,1,Bruno Guimaraes,SINGLE ROLE,strong succession fit; good evidence base; development runway; moderate decision uncertainty
Victor Froholdt,Porto,Portuguese Primeira Liga,19.0,2872,62.1,60.4,61.4,Sandro Tonali,SCOUT FURTHER,95.73333333333333,HIGH,HIGH UPSIDE,100,0,LOW,76.0,0,76.0,PRIORITY TARGET,1,Sandro Tonali,SINGLE ROLE,moderate succession fit; high evidence confidence; high development upside; low decision uncertainty
Kodai Sano,NEC Nijmegen,Eredivisie,21.0,3060,54.9,69.9,60.9,Sandro Tonali,SCOUT FURTHER,100.0,HIGH,DEVELOPMENT,90,0,LOW,74.5,0,74.5,PRIORITY TARGET,1,Sandro Tonali,SINGLE ROLE,moderate succession fit; high evidence confidence; development runway; low decision uncertainty
Irakli Yegoian,Excelsior,Eredivisie,21.0,2672,65.6,54.7,61.3,Sandro Tonali,SCOUT FURTHER,89.06666666666668,HIGH,DEVELOPMENT,90,0,LOW,72.6,0,72.6,PRIORITY TARGET,1,Sandro Tonali,SINGLE ROLE,moderate succession fit; high evidence confidence; development runway; low decision uncertainty
Max Ejdum,Odense,Danish Superliga,20.0,2046,58.1,65.4,61.0,Sandro Tonali,SCOUT FURTHER,68.2,GOOD,HIGH UPSIDE,100,10,MEDIUM,70.2,3,67.2,STRONG SHORTLIST,1,Sandro Tonali,SINGLE ROLE,moderate succession fit; good evidence base; high development upside; moderate decision uncertainty
