Player,Squad,League,Age,Elite_Roles,Roles,Average_Role_Score,Best_Role_Score
Kodai Sano,NEC Nijmegen,Eredivisie,21.0,1,Two-Way Midfielder,68.26271186440678,68.26271186440678
Kouakou Gadou,RB Salzburg,Austrian Bundesliga,18.0,1,Aggressive Defender,77.72912966252218,77.72912966252218
Kyriani Sabbe,Club Brugge,Belgian Pro League,20.0,1,Two-Way Defender,78.71580817051509,78.71580817051509
Lawrence Agyekum,Cercle Brugge,Belgian Pro League,21.0,1,Defensive Midfielder,71.0314769975787,71.0314769975787
Leandro Barreiro Martins,Benfica,Portuguese Primeira Liga,25.0,1,Creative Midfielder,73.27300242130752,73.27300242130752
Lee Kanghee,Austria Wien,Austrian Bundesliga,23.0,1,Aggressive Defender,79.57992895204261,79.57992895204261
Lennart Karl,Bayern Munich,German Bundesliga,17.0,2,Creative Midfielder | Two-Way Midfielder,77.62167070217919,82.05932203389831
Lucas Oliveira Rosa,Ajax,Eredivisie,25.0,1,Aggressive Defender,82.05683836589697,82.05683836589697
Marcos López,FC Copenhagen,Danish Superliga,25.0,1,Two-Way Defender,73.9715808170515,73.9715808170515
Marcus McCoy,Odense,Danish Superliga,19.0,2,Aggressive Defender | Two-Way Defender,89.32859680284193,89.91296625222026
Mats Rots,Twente,Eredivisie,19.0,1,Two-Way Defender,76.67495559502665,76.67495559502665
Matthäus Taferner,WSG Tirol,Austrian Bundesliga,24.0,1,Defensive Midfielder,77.57627118644068,77.57627118644068
Mauricio Benítez,Antwerp,Belgian Pro League,21.0,2,Aggressive Defender | Two-Way Defender,81.20159857904085,84.41740674955595
Maurits Kjærgaard,RB Salzburg,Austrian Bundesliga,22.0,2,Creative Midfielder | Two-Way Midfielder,74.69491525423729,79.01452784503633
Maxi Araújo,Sporting CP,Portuguese Primeira Liga,25.0,1,Two-Way Defender,77.38898756660747,77.38898756660747
Maximilian Beier,Dortmund,German Bundesliga,22.0,2,Creative Forward | High-Intensity Forward,74.11413043478261,76.77173913043478
Melayro Bogarde,LASK,Austrian Bundesliga,23.0,2,Aggressive Defender | Two-Way Defender,82.16429840142096,84.11722912966253
Michael Olise,Bayern Munich,German Bundesliga,23.0,1,Creative Midfielder,77.45520581113803,77.45520581113803
Michał Skóraś,Gent,Belgian Pro League,25.0,2,Creative Midfielder | Two-Way Midfielder,72.80447941888619,75.66949152542372
Mika Godts,Ajax,Eredivisie,20.0,3,Creative Forward | Goal Threat Forward | High-Intensity Forward,83.7536231884058,87.99456521739131
Mimeirhel Benita,Heracles Almelo,Eredivisie,21.0,1,Aggressive Defender,78.5284191829485,78.5284191829485
Mohammed Ihattaren,Fortuna Sittard,Eredivisie,23.0,1,Creative Forward,79.96195652173914,79.96195652173914
